,0
0,48
1,14
2,88
3,79
4,62
5,39
6,81
7,26
8,85
9,33
10,8
11,50
12,93
13,28
14,20
15,58
16,20
17,53
18,44
19,53
20,36
21,39
22,53
23,80
24,55
25,74
26,93
27,63
28,60
29,39
30,74
31,6
32,52
33,76
34,51
35,17
36,34
37,38
38,35
39,100
40,28
41,6
42,56
43,56
44,78
45,2
46,84
47,74
48,17
49,71
50,58
51,99
52,84
53,92
54,20
55,60
56,23
57,4
58,9
59,96
60,23
61,58
62,4
63,77
64,14
65,69
66,9
67,48
68,49
69,85
70,80
71,89
72,83
73,47
74,87
75,44
76,61
77,8
78,98
79,64
80,47
81,67
82,51
83,8
84,100
85,59
86,4
87,82
88,43
89,29
90,4
91,31
92,2
93,59
94,18
95,68
96,21
97,19
98,46
99,69
100,4
101,78
102,19
103,20
104,21
105,19
106,45
107,27
108,1
109,85
110,96
111,75
112,2
113,91
114,41
115,29
116,22
117,11
118,7
119,6
120,39
121,67
122,69
123,15
124,49
125,52
126,59
127,7
128,29
129,2
130,24
131,42
132,26
133,15
134,79
135,62
136,43
137,48
138,42
139,53
140,32
141,51
142,72
143,79
144,52
145,95
146,26
147,8
148,3
149,76
150,92
151,73
152,99
153,18
154,38
155,6
156,29
157,68
158,92
159,96
160,9
161,30
162,40
163,9
164,46
165,91
166,62
167,38
168,74
169,98
170,31
171,50
172,14
173,65
174,92
175,60
176,12
177,7
178,27
179,29
180,64
181,59
182,84
183,91
184,26
185,57
186,59
187,60
188,48
189,94
190,23
191,35
192,15
193,39
194,87
195,9
196,88
197,88
198,91
199,10
200,66
201,48
202,20
203,35
204,23
205,23
206,73
207,23
208,36
209,96
210,36
211,51
212,7
213,63
214,51
215,70
216,85
217,74
218,9
219,17
220,89
221,27
222,72
223,4
224,88
225,39
226,66
227,98
228,93
229,77
230,54
231,24
232,17
233,75
234,56
235,8
236,47
237,12
238,62
239,47
240,38
241,6
242,18
243,69
244,30
245,31
246,18
247,28
248,48
249,80
250,20
251,5
252,47
253,80
254,95
255,2
256,6
257,2
258,15
259,68
260,46
261,82
262,86
263,8
264,70
265,21
266,37
267,98
268,37
269,73
270,29
271,7
272,41
273,14
274,74
275,83
276,44
277,97
278,75
279,42
280,79
281,12
282,22
283,38
284,27
285,31
286,35
287,42
288,66
289,19
290,57
291,84
292,33
293,3
294,29
295,30
296,10
297,93
298,97
299,24
300,19
301,89
302,6
303,76
304,51
305,55
306,57
307,85
308,81
309,42
310,50
311,80
312,31
313,31
314,44
315,4
316,70
317,63
318,42
319,90
320,77
321,8
322,98
323,78
324,63
325,48
326,3
327,94
328,26
329,71
330,16
331,96
332,51
333,30
334,86
335,62
336,29
337,62
338,11
339,23
340,75
341,39
342,57
343,51
344,27
345,3
346,86
347,89
348,48
349,92
350,64
351,27
352,80
353,28
354,24
355,17
356,68
357,47
358,70
359,88
360,81
361,99
362,17
363,94
364,58
365,14
366,10
367,69
368,27
369,22
370,40
371,96
372,33
373,87
374,85
375,30
376,40
377,96
378,47
379,88
380,64
381,93
382,30
383,51
384,88
385,47
386,97
387,31
388,93
389,73
390,65
391,23
392,90
393,5
394,23
395,93
396,2
397,84
398,24
399,17
