,0
0,68
1,53
2,56
3,65
4,3
5,21
6,91
7,64
8,56
9,82
10,64
11,17
12,93
13,7
14,27
15,63
16,31
17,99
18,11
19,62
20,49
21,59
22,98
23,86
24,3
25,0
26,61
27,95
28,71
29,85
30,45
31,20
32,98
33,43
34,78
35,69
36,50
37,19
38,87
39,6
40,57
41,1
42,91
43,26
44,21
45,85
46,44
47,51
48,44
49,75
50,32
51,3
52,60
53,72
54,63
55,85
56,35
57,12
58,54
59,2
60,53
61,25
62,44
63,11
64,9
65,40
66,63
67,74
68,14
69,4
70,32
71,19
72,57
73,51
74,52
75,59
76,24
77,87
78,51
79,83
80,55
81,23
82,79
83,24
84,93
85,37
86,97
87,72
88,54
89,80
90,91
91,75
92,25
93,88
94,53
95,22
96,45
97,10
98,60
99,12
100,66
101,61
102,77
103,29
104,11
105,67
106,11
107,91
108,8
109,31
110,41
111,14
112,10
113,0
114,92
115,91
116,85
117,11
118,40
119,38
120,69
121,24
122,49
123,91
124,44
125,86
126,41
127,67
128,38
129,55
130,62
131,83
132,57
133,16
134,19
135,11
136,4
137,48
138,17
139,64
140,2
141,32
142,56
143,83
144,35
145,74
146,49
147,86
148,24
149,91
150,34
151,93
152,16
153,30
154,100
155,61
156,6
157,96
158,54
159,71
160,67
161,17
162,33
163,16
164,39
165,38
166,20
167,36
168,74
169,91
170,46
171,20
172,73
173,8
174,29
175,7
176,77
177,33
178,41
179,69
180,19
181,34
182,20
183,56
184,80
185,18
186,28
187,45
188,92
189,43
190,77
191,61
192,96
193,13
194,43
195,84
196,88
197,22
198,67
199,35
200,11
201,66
202,99
203,24
204,75
205,67
206,58
207,28
208,27
209,28
210,58
211,76
212,15
213,72
214,25
215,57
216,63
217,5
218,16
219,46
220,49
221,66
222,28
223,17
224,33
225,74
226,51
227,51
228,97
229,69
230,42
231,14
232,82
233,90
234,50
235,74
236,49
237,78
238,97
239,98
240,86
241,28
242,3
243,55
244,3
245,100
246,94
247,63
248,95
249,53
250,83
251,25
252,55
253,52
254,69
255,87
256,9
257,44
258,49
259,77
260,15
261,2
262,88
263,83
264,24
265,19
266,100
267,22
268,70
269,95
270,48
271,12
272,86
273,95
274,31
275,0
276,54
277,16
278,38
279,29
280,19
281,6
282,45
283,31
284,86
285,7
286,60
287,26
288,17
289,14
290,66
291,22
292,98
293,18
294,79
295,100
296,61
297,78
298,67
299,17
300,55
301,71
302,57
303,76
304,92
305,65
306,21
307,87
308,18
309,12
310,0
311,22
312,93
313,14
314,56
315,98
316,72
317,76
318,29
319,88
320,33
321,73
322,29
323,94
324,3
325,54
326,81
327,98
328,74
329,87
330,63
331,26
332,18
333,46
334,41
335,67
336,66
337,40
338,58
339,26
340,24
341,10
342,24
343,99
344,85
345,37
346,40
347,3
348,44
349,84
350,19
351,30
352,100
353,4
354,57
355,1
356,5
357,74
358,2
359,68
360,97
361,100
362,68
363,83
364,19
365,42
366,13
367,69
368,38
369,99
370,22
371,17
372,36
373,45
374,37
375,37
376,23
377,38
378,20
379,89
380,80
381,61
382,51
383,97
384,64
385,11
386,80
387,99
388,80
389,47
390,23
391,31
392,57
393,47
394,18
395,43
396,65
397,45
398,70
399,55
