,0
0,26
1,12
2,80
3,11
4,27
5,33
6,42
7,54
8,67
9,13
10,32
11,62
12,16
13,56
14,36
15,74
16,64
17,63
18,98
19,65
20,4
21,76
22,91
23,31
24,53
25,28
26,30
27,76
28,51
29,62
30,15
31,19
32,57
33,16
34,34
35,30
36,40
37,24
38,44
39,70
40,70
41,30
42,59
43,25
44,29
45,65
46,15
47,89
48,94
49,74
50,3
51,73
52,45
53,2
54,8
55,18
56,50
57,28
58,11
59,65
60,78
61,75
62,41
63,42
64,24
65,21
66,28
67,75
68,92
69,40
70,90
71,65
72,17
73,91
74,75
75,91
76,27
77,26
78,48
79,13
80,0
81,0
82,17
83,12
84,66
85,95
86,74
87,34
88,95
89,35
90,34
91,34
92,84
93,100
94,59
95,92
96,77
97,18
98,50
99,89
100,87
101,41
102,67
103,95
104,6
105,31
106,30
107,82
108,40
109,19
110,81
111,30
112,81
113,78
114,65
115,46
116,69
117,59
118,17
119,13
120,15
121,96
122,83
123,29
124,38
125,36
126,32
127,47
128,88
129,44
130,53
131,66
132,88
133,25
134,69
135,92
136,18
137,67
138,81
139,7
140,64
141,78
142,12
143,97
144,46
145,10
146,91
147,20
148,66
149,20
150,59
151,87
152,34
153,77
154,75
155,33
156,50
157,76
158,44
159,20
160,63
161,22
162,100
163,41
164,22
165,44
166,60
167,88
168,19
169,21
170,21
171,25
172,57
173,7
174,68
175,36
176,49
177,58
178,79
179,49
180,89
181,23
182,20
183,92
184,78
185,66
186,27
187,23
188,75
189,34
190,46
191,47
192,100
193,63
194,50
195,49
196,25
197,16
198,7
199,57
200,38
201,40
202,76
203,45
204,27
205,7
206,48
207,30
208,74
209,34
210,35
211,64
212,31
213,3
214,97
215,87
216,49
217,94
218,24
219,7
220,82
221,33
222,35
223,46
224,64
225,84
226,90
227,96
228,83
229,83
230,43
231,4
232,17
233,86
234,83
235,20
236,16
237,63
238,58
239,91
240,32
241,70
242,26
243,28
244,58
245,62
246,38
247,59
248,44
249,42
250,11
251,33
252,30
253,78
254,17
255,54
256,17
257,35
258,52
259,68
260,71
261,33
262,21
263,46
264,35
265,71
266,6
267,16
268,52
269,29
270,65
271,24
272,98
273,58
274,37
275,96
276,26
277,69
278,80
279,15
280,88
281,27
282,73
283,14
284,15
285,47
286,89
287,38
288,9
289,88
290,51
291,59
292,12
293,62
294,1
295,61
296,45
297,40
298,81
299,86
300,42
301,15
302,89
303,60
304,95
305,13
306,100
307,48
308,23
309,75
310,10
311,24
312,66
313,93
314,14
315,24
316,71
317,36
318,86
319,6
320,90
321,78
322,54
323,24
324,54
325,64
326,23
327,70
328,32
329,91
330,39
331,84
332,40
333,38
334,30
335,7
336,40
337,80
338,96
339,19
340,1
341,14
342,80
343,71
344,43
345,40
346,30
347,89
348,11
349,87
350,59
351,10
352,6
353,65
354,3
355,0
356,82
357,6
358,8
359,75
360,26
361,63
362,78
363,75
364,94
365,62
366,93
367,7
368,38
369,70
370,16
371,62
372,15
373,0
374,97
375,13
376,65
377,100
378,66
379,81
380,43
381,82
382,77
383,95
384,68
385,30
386,81
387,89
388,32
389,92
390,9
391,40
392,81
393,20
394,52
395,65
396,45
397,38
398,57
399,41
400,32
401,76
402,40
403,37
404,93
405,60
406,54
407,76
408,36
409,28
410,47
411,96
412,60
413,20
414,67
415,99
416,72
417,97
418,47
419,31
420,85
421,48
422,66
423,22
424,71
425,64
426,48
427,80
428,55
429,70
430,21
431,83
432,86
433,37
434,63
435,64
436,75
437,24
438,6
439,1
440,3
441,39
442,70
443,75
444,73
445,53
446,8
447,79
448,80
449,37
450,20
451,57
452,100
453,27
454,48
455,38
456,0
457,57
458,6
459,5
460,55
461,10
462,34
463,37
464,82
465,52
466,35
467,28
468,92
469,76
470,47
471,70
472,77
473,19
474,15
475,98
476,58
477,67
478,67
479,81
480,100
481,94
482,11
483,23
484,22
485,88
486,33
487,43
488,83
489,2
490,100
491,23
492,16
493,72
494,45
495,37
496,9
497,80
498,84
499,55
500,14
501,67
502,51
503,10
504,79
505,7
506,40
507,42
508,92
509,93
510,91
511,44
512,56
513,14
514,53
515,98
516,58
517,39
518,8
519,19
520,4
521,90
522,7
523,15
524,81
525,28
526,5
527,4
528,68
529,2
530,63
531,10
532,45
533,33
534,51
535,66
536,52
537,3
538,59
539,47
540,69
541,35
542,77
543,55
544,7
545,82
546,80
547,80
548,56
549,17
550,46
551,40
552,75
